loc_rowid,pl_name,pl_pnum,pl_orbper,st_dist,st_teff,pl_masse,pl_rade,pl_publ_date
3486,Kepler-823 b,1,4.16809082,896.00,5643.00,,1.570,
3487,Kepler-824 b,1,4.51436633,1352.00,6035.00,,1.870,
3488,Kepler-825 b,2,3.77360059,820.00,5976.00,,1.530,
3489,Kepler-825 c,2,8.18182460,820.00,5976.00,,1.840,
3490,Kepler-826 b,1,4.48758907,649.00,6079.00,,1.250,
3491,Kepler-827 b,1,51.92927591,1352.00,5602.00,,5.630,
3492,Kepler-828 b,1,0.56785714,625.00,5039.00,,1.510,
3493,Kepler-829 b,1,6.88337562,954.00,5698.00,,2.110,
3494,Kepler-83 b,3,9.77000000,405.01,4648.00,,2.830,2013-10
3495,Kepler-83 c,3,20.09000000,405.01,4648.00,,2.360,2013-10
3496,Kepler-83 d,3,5.16979600,405.01,4648.00,,1.940,2014-03
3497,Kepler-830 b,1,11.29695137,1122.00,6037.00,,1.700,
3498,Kepler-831 b,1,5.62153941,577.00,5732.00,,1.270,
3499,Kepler-832 b,1,7.13969410,1346.00,5596.00,,2.060,
3500,Kepler-833 b,1,18.75469980,421.00,4339.00,,2.020,
3501,Kepler-834 b,1,13.32388301,620.00,4554.00,,2.020,
3502,Kepler-835 b,1,11.41909375,2011.00,5954.00,,2.790,
3503,Kepler-836 b,1,11.36112327,1003.00,5895.00,,2.730,
3504,Kepler-837 b,1,16.56059504,846.00,5403.00,,2.560,
3505,Kepler-838 b,1,15.74957994,1210.00,5770.00,,2.730,
3506,Kepler-839 b,1,37.81445140,833.00,6058.00,,2.570,
3507,Kepler-84 b,5,8.72600000,1443.27,6031.00,,2.230,2013-10
3508,Kepler-84 c,5,12.88300000,1443.27,6031.00,,2.360,2013-10
3509,Kepler-84 d,5,4.22453700,1443.27,6031.00,,1.380,2014-03
3510,Kepler-84 e,5,27.43438900,1443.27,6031.00,,2.600,2014-03
3511,Kepler-84 f,5,44.55216900,1443.27,6031.00,,2.200,2014-03
3512,Kepler-840 b,1,2.49577962,778.00,5920.00,,17.070,
3513,Kepler-841 b,1,124.41983980,1052.00,5324.00,,5.230,
3514,Kepler-842 b,1,1.21956827,552.00,4848.00,,1.600,
3515,Kepler-843 b,1,2.05387982,1247.00,5830.00,,2.590,
3516,Kepler-844 b,1,2.61302086,394.00,4128.00,,1.680,
3517,Kepler-845 b,1,0.92785982,471.00,4913.00,,2.040,
3518,Kepler-846 b,1,19.80792185,1233.00,5579.00,,2.480,
3519,Kepler-847 b,1,2.34323190,529.00,4940.00,,1.180,
3520,Kepler-848 b,1,6.91134416,797.00,5695.00,,1.700,
3521,Kepler-849 b,1,394.62449040,747.00,6059.00,,7.140,
3522,Kepler-85 b,4,8.30600000,782.09,5436.00,,1.970,2013-10
3523,Kepler-85 c,4,12.51300000,782.09,5436.00,,2.180,2013-10
3524,Kepler-85 d,4,17.91323000,782.09,5436.00,,1.200,2014-03
3525,Kepler-85 e,4,25.21675100,782.09,5436.00,,1.270,2014-03
3526,Kepler-850 b,1,7.19303878,1535.00,5932.00,,1.780,
3527,Kepler-851 b,1,8.50699658,869.00,5455.00,,1.680,
3528,Kepler-852 b,1,44.93098040,854.00,6100.00,,2.540,
